Study_code;Sample_ID;SpC;Cl;SO4;NO3;NO2;F;TN;Sample_n;Sample_ID;NPOC;Sample_ID
WHONDRS_S19S;S19S_0021_ANI-2;NA;13.64;63.66;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.12;0.51;S19S21;S19S_0021_ICR-2;1.49;S19S_0021_ANI-2
WHONDRS_S19S;S19S_0021_ANI-3;NA;13.04;64.18;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.1;0.31;S19S21;S19S_0021_ICR-3;1.84;S19S_0021_ANI-3
WHONDRS_S19S;S19S_0022_ANI-1;11.67;1.49;0.54;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.21;S19S22;S19S_0022_ICR-1;1.95;S19S_0022_ANI-1
WHONDRS_S19S;S19S_0022_ANI-2;NA;1.45;0.69;0.17;Below_Range_Less_Than_0.04;0.07;0.43;S19S22;S19S_0022_ICR-2;2.39;S19S_0022_ANI-2
WHONDRS_S19S;S19S_0022_ANI-3;NA;1.46;0.68;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.05;0.22;S19S22;S19S_0022_ICR-3;1.62;S19S_0022_ANI-3
WHONDRS_S19S;S19S_0023_ANI-1;543;4.86;1.55;0.19;Below_Range_Less_Than_0.04;1.31;0.44;S19S23;S19S_0023_ICR-1;3.6;S19S_0023_ANI-1
WHONDRS_S19S;S19S_0023_ANI-2;NA;4.62;1.52;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;1.23;0.76;S19S23;S19S_0023_ICR-2;4.76;S19S_0023_ANI-2
WHONDRS_S19S;S19S_0023_ANI-3;NA;4.7;1.55;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;1.24;0.42;S19S23;S19S_0023_ICR-3;4.97;S19S_0023_ANI-3
WHONDRS_S19S;S19S_0024_ANI-1;534;2.79;5.13;1.71;Below_Range_Less_Than_0.04;0.08;0.74;S19S24;S19S_0024_ICR-1;0.66;S19S_0024_ANI-1
WHONDRS_S19S;S19S_0024_ANI-2;NA;2.72;4.99;1.69;Below_Range_Less_Than_0.04;0.07;0.52;S19S24;S19S_0024_ICR-2;0.65;S19S_0024_ANI-2
WHONDRS_S19S;S19S_0024_ANI-3;NA;2.63;4.88;1.69;Below_Range_Less_Than_0.04;0.07;0.72;S19S24;S19S_0024_ICR-3;0.61;S19S_0024_ANI-3
WHONDRS_S19S;S19S_0025_ANI-1;726;100.78;27.12;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.19;0.27;S19S25;S19S_0025_ICR-1;1.94;S19S_0025_ANI-1
WHONDRS_S19S;S19S_0025_ANI-2;NA;105.86;28.6;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.23;0.48;S19S25;S19S_0025_ICR-2;2.23;S19S_0025_ANI-2
WHONDRS_S19S;S19S_0025_ANI-3;NA;99.36;26.51;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.2;0.48;S19S25;S19S_0025_ICR-3;1.34;S19S_0025_ANI-3
WHONDRS_S19S;S19S_0026_ANI-1;21.4;NA;1.22;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.22;S19S26;S19S_0026_ICR-1;3.75;S19S_0026_ANI-1
WHONDRS_S19S;S19S_0026_ANI-2;NA;NA;0.55;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.03;0.45;S19S26;S19S_0026_ICR-2;3.32;S19S_0026_ANI-2
WHONDRS_S19S;S19S_0026_ANI-3;NA;NA;1.2;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.18;S19S26;S19S_0026_ICR-3;3.44;S19S_0026_ANI-3
