Study_code;Sample_ID;SpC;Cl;SO4;NO3;NO2;F;TN;Sample_n;Sample_ID;NPOC;Sample_ID
WHONDRS_S19S;S19S_0093_ANI-1;572;24.96;41.34;31.27;Below_Range_Less_Than_0.04;0.15;7.36;S19S93;S19S_0093_ICR-1;11.09;S19S_0093_ANI-1
WHONDRS_S19S;S19S_0093_ANI-2;NA;20.99;41.6;30.67;Below_Range_Less_Than_0.04;0.14;6.54;S19S93;S19S_0093_ICR-2;10.83;S19S_0093_ANI-2
WHONDRS_S19S;S19S_0093_ANI-3;NA;22.98;37.72;29.63;Below_Range_Less_Than_0.04;0.13;7.66;S19S93;S19S_0093_ICR-3;8.47;S19S_0093_ANI-3
WHONDRS_S19S;S19S_0094_ANI-1;54.7;6.21;1.31;0.5;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.51;S19S94;S19S_0094_ICR-1;1.24;S19S_0094_ANI-1
WHONDRS_S19S;S19S_0094_ANI-2;NA;6.12;1.22;0.53;Below_Range_Less_Than_0.04;0.03;0.49;S19S94;S19S_0094_ICR-2;0.8;S19S_0094_ANI-2
WHONDRS_S19S;S19S_0094_ANI-3;NA;6.14;1.2;0.58;Below_Range_Less_Than_0.04;0.03;0.47;S19S94;S19S_0094_ICR-3;1.09;S19S_0094_ANI-3
WHONDRS_S19S;S19S_0096_ANI-1;102.3;3.22;6.08;5.43;0.07;0.09;1.81;S19S96;S19S_0096_ICR-1;0.89;S19S_0096_ANI-1
WHONDRS_S19S;S19S_0096_ANI-2;NA;3.18;5.97;5.38;0.07;0.09;1.56;S19S96;S19S_0096_ICR-2;0.88;S19S_0096_ANI-2
WHONDRS_S19S;S19S_0096_ANI-3;NA;3.17;6.01;5.48;0.08;0.11;1.97;S19S96;S19S_0096_ICR-3;0.78;S19S_0096_ANI-3
WHONDRS_S19S;S19S_0097_ANI-1;455;12.6;14.24;1.06;Below_Range_Less_Than_0.04;0.1;0.39;S19S97;S19S_0097_ICR-1;0.58;S19S_0097_ANI-1
WHONDRS_S19S;S19S_0097_ANI-2;NA;12.38;14.09;1.05;Below_Range_Less_Than_0.04;0.09;0.43;S19S97;S19S_0097_ICR-2;1.16;S19S_0097_ANI-2
WHONDRS_S19S;S19S_0097_ANI-3;NA;12.68;14.21;1.01;Below_Range_Less_Than_0.04;0.09;0.6;S19S97;S19S_0097_ICR-3;0.98;S19S_0097_ANI-3
WHONDRS_S19S;S19S_0098_ANI-1;296;1.14;1.9;0.65;Below_Range_Less_Than_0.04;0.05;0.31;S19S98;S19S_0098_ICR-1;0.93;S19S_0098_ANI-1
WHONDRS_S19S;S19S_0098_ANI-2;NA;1.14;2.02;0.66;Below_Range_Less_Than_0.04;0.05;0.29;S19S98;S19S_0098_ICR-2;0.73;S19S_0098_ANI-2
WHONDRS_S19S;S19S_0098_ANI-3;NA;1.11;1.88;0.66;Below_Range_Less_Than_0.04;0.05;0.28;S19S98;S19S_0098_ICR-3;0.94;S19S_0098_ANI-3
WHONDRS_S19S;S19S_0099_ANI-1;657;70.55;47.79;4.43;Below_Range_Less_Than_0.04;0.33;1.51;S19S99;S19S_0099_ICR-1;2.3;S19S_0099_ANI-1
WHONDRS_S19S;S19S_0099_ANI-2;NA;68.35;45.59;4.64;Below_Range_Less_Than_0.04;0.29;1.47;S19S99;S19S_0099_ICR-2;NA;S19S_0099_ANI-2
WHONDRS_S19S;S19S_0099_ANI-3;NA;66.16;44.37;4.75;Below_Range_Less_Than_0.04;0.3;1.86;S19S99;S19S_0099_ICR-3;1.62;S19S_0099_ANI-3
WHONDRS_S19S;S19S_0100_ANI-1;226;0.22;34.62;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.09;0.4;S19S100;S19S_0100_ICR-1;0.55;S19S_0100_ANI-1
WHONDRS_S19S;S19S_0100_ANI-2;NA;0.2;34.82;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.06;0.37;S19S100;S19S_0100_ICR-2;0.47;S19S_0100_ANI-2
WHONDRS_S19S;S19S_0100_ANI-3;NA;0.2;34.8;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.06;0.36;S19S100;S19S_0100_ICR-3;0.67;S19S_0100_ANI-3
