num,Sample_ID,00681_NPOC_mg_per_L_as_C
228,S19S_0079_ICR-3,1.38
229,S19S_0080_ICR-1,2.71
230,S19S_0080_ICR-2,2.72
231,S19S_0081_ICR-1,2.86
232,S19S_0081_ICR-2,2.87
233,S19S_0081_ICR-3,2.32
234,S19S_0082_ICR-1,5.51
235,S19S_0082_ICR-2,5.44
236,S19S_0082_ICR-3,5.39
237,S19S_0083_ICR-1,3.75
238,S19S_0083_ICR-2,2.49
239,S19S_0083_ICR-3,2.9
240,S19S_0084_ICR-1,1.77
241,S19S_0084_ICR-2,2.15
242,S19S_0084_ICR-3,1.36
243,S19S_0085_ICR-1,1.29
244,S19S_0085_ICR-2,1.57
245,S19S_0085_ICR-3,0.87
246,S19S_0086_ICR-1,0.58
247,S19S_0086_ICR-2,0.74
248,S19S_0086_ICR-3,0.77
249,S19S_0087_ICR-1,2.16
250,S19S_0087_ICR-2,1.45
251,S19S_0087_ICR-3,1.46
252,S19S_0089_ICR-1,1.59
253,S19S_0089_ICR-2,2.37
254,S19S_0089_ICR-3,1.16
255,S19S_0090_ICR-2,2.08
256,S19S_0090_ICR-3,1.54
257,S19S_0091_ICR-2,Below_Range_Less_Than_0.45
258,S19S_0091_ICR-3,Below_Range_Less_Than_0.45
259,S19S_0092_ICR-1,8.31
260,S19S_0092_ICR-2,9.01
261,S19S_0092_ICR-3,8.13
262,S19S_0093_ICR-1,11.09
263,S19S_0093_ICR-2,10.83
264,S19S_0093_ICR-3,8.47
265,S19S_0094_ICR-1,1.24
266,S19S_0094_ICR-2,0.8
267,S19S_0094_ICR-3,1.09
268,S19S_0096_ICR-1,0.89
269,S19S_0096_ICR-2,0.88
270,S19S_0096_ICR-3,0.78
271,S19S_0097_ICR-1,0.58
272,S19S_0097_ICR-2,1.16
273,S19S_0097_ICR-3,0.98
274,S19S_0098_ICR-1,0.93
275,S19S_0098_ICR-2,0.73
276,S19S_0098_ICR-3,0.94
277,S19S_0099_ICR-1,2.3
278,S19S_0099_ICR-2,Below_Range_Less_Than_0.45
279,S19S_0099_ICR-2,Below_Range_Less_Than_0.45
280,S19S_0099_ICR-3,1.62
281,S19S_0100_ICR-1,0.55
282,S19S_0100_ICR-2,0.47
283,S19S_0100_ICR-3,0.67
