num,Sample_ID,00681_NPOC_mg_per_L_as_C
309,S19S_0059_SED_INC_ICR-D,20.46
310,S19S_0079_SED_INC_ICR-D,14.41
311,S19S_0047_SED_INC_ICR-D,10.06
312,S19S_0019_SED_INC_ICR-D,5.73
313,S19S_0033_SED_INC_ICR-D,9
314,S19S_0070_SED_INC_ICR-D,6.83
315,S19S_0031_SED_INC_ICR-D,13.11
316,S19S_0100_SED_INC_ICR-D,19.75
317,S19S_0007_SED_INC_ICR-D,15.08
318,S19S_0052_SED_INC_ICR-D,11.5
319,S19S_0012_SED_INC_ICR-D,18.5
320,S19S_0043_SED_INC_ICR-D,26.89
321,S19S_0073_SED_INC_ICR-D,15.53
322,S19S_0011_SED_INC_ICR-D,4.67
323,S19S_0066_SED_INC_ICR-D,16.41
324,S19S_0051_SED_INC_ICR-D,16.72
325,S19S_0013_SED_INC_ICR-D,18.7
326,S19S_0082_SED_INC_ICR-D,51.73
327,S19S_0076_SED_INC_ICR-D,23.34
328,S19S_0064_SED_INC_ICR-D,5.55
329,S19S_0063_SED_INC_ICR-D,6.4
330,S19S_0089_SED_INC_ICR-D,60.18
331,S19S_0085_SED_INC_ICR-D,11.4
332,S19S_0071_SED_INC_ICR-D,14.11
333,S19S_0036_SED_INC_ICR-D,16.88
334,S19S_0098_SED_INC_ICR-D,37.11
335,S19S_0035_SED_INC_ICR-D,15.9
336,S19S_0084_SED_INC_ICR-D,11.47
337,S19S_0026_SED_INC_ICR-D,15.01
338,S19S_0069_SED_INC_ICR-D,9.07
339,S19S_0021_SED_INC_ICR-D,8.69
340,S19S_0099_SED_INC_ICR-D,9.59
341,S19S_0074_SED_INC_ICR-D,12.84
342,S19S_0034_SED_INC_ICR-D,15.9
343,S19S_0061_SED_INC_ICR-D,19.99
344,S19S_0014_SED_INC_ICR-D,15.49
345,S19S_0017_SED_INC_ICR-D,9.02
346,S19S_0008_SED_INC_ICR-D,18.12
347,S19S_0060_SED_INC_ICR-D,11.1
348,S19S_0028_SED_INC_ICR-D,10.44
349,S19S_0097_SED_INC_ICR-D,21.75
350,S19S_0018_SED_INC_ICR-D,11.64
351,S19S_0038_SED_INC_ICR-D,9.44
352,S19S_0053_SED_INC_ICR-D,11.03
353,S19S_0028_SED_INC_ICR-M,40
354,S19S_0022_SED_INC_ICR-M,5.12
355,S19S_0077_SED_INC_ICR-M,12.2
356,S19S_0037_SED_INC_ICR-M,15.42
357,S19S_0090_SED_INC_ICR-M,15.55
358,S19S_0043_SED_INC_ICR-M,7.97
359,S19S_0032_SED_INC_ICR-M,10.25
360,S19S_0055_SED_INC_ICR-M,16.29
361,S19S_0071_SED_INC_ICR-M,17.7
362,S19S_0021_SED_INC_ICR-M,9.88
363,S19S_0085_SED_INC_ICR-M,12.07
364,S19S_0020_SED_INC_ICR-M,7.04
365,S19S_0015_SED_INC_ICR-M,10.93
366,S19S_0070_SED_INC_ICR-M,8.77
367,S19S_0047_SED_INC_ICR-M,28.76
368,S19S_0050_SED_INC_ICR-M,15.41
369,S19S_0019_SED_INC_ICR-M,12.98
370,S19S_0086_SED_INC_ICR-M,7.3
371,S19S_0100_SED_INC_ICR-M,7.16
372,S19S_0066_SED_INC_ICR-M,19.7
373,S19S_0074_SED_INC_ICR-M,11.37
374,S19S_0035_SED_INC_ICR-M,9.8
375,S19S_0067_SED_INC_ICR-M,26.3
376,S19S_0098_SED_INC_ICR-M,36.26
377,S19S_0078_SED_INC_ICR-M,13.91
378,S19S_0082_SED_INC_ICR-M,22.8
379,S19S_0052_SED_INC_ICR-M,22.09
380,S19S_0069_SED_INC_ICR-M,6.77
381,S19S_0029_SED_INC_ICR-M,25.06
382,S19S_0068_SED_INC_ICR-M,8.18
383,S19S_0034_SED_INC_ICR-M,12.09
384,S19S_0059_SED_INC_ICR-M,25.61
385,S19S_0072_SED_INC_ICR-M,9.34
386,S19S_0083_SED_INC_ICR-M,13.03
387,S19S_0027_SED_INC_ICR-M,11.79
388,S19S_0097_SED_INC_ICR-M,15.79
389,S19S_0018_SED_INC_ICR-M,14.59
390,S19S_0024_SED_INC_ICR-M,28.8
391,S19S_0051_SED_INC_ICR-M,14.87
392,S19S_0016_SED_INC_ICR-M,21.02
393,S19S_0033_SED_INC_ICR-M,6.71
394,S19S_0017_SED_INC_ICR-M,5.92
395,S19S_0089_SED_INC_ICR-M,41.86
396,S19S_0064_SED_INC_ICR-M,28.13
397,S19S_0023_SED_INC_ICR-M,14.61
398,S19S_0036_SED_INC_ICR-M,14.52
399,S19S_0087_SED_INC_ICR-M,11.55
400,S19S_0038_SED_INC_ICR-M,8.31
401,S19S_0045_Sed_Field_ICR-M,17.34
402,S19S_0099_SED_INC_ICR-M,16.7
403,S19S_0084_SED_INC_ICR-M,19.6
404,S19S_0062_SED_INC_ICR-M,7.86
405,S19S_0061_SED_INC_ICR-M,28.87
406,S19S_0026_SED_INC_ICR-M,12.3
407,S19S_0080_SED_INC_ICR-M,6.2
408,S19S_0014_SED_INC_ICR-M,13.89
409,S19S_0031_SED_INC_ICR-M,6.01
410,S19S_0060_SED_INC_ICR-M,10.81
411,S19S_0041_SED_INC_ICR-M,11.6
412,S19S_0025_SED_INC_ICR-M,18.55
413,S19S_0012_SED_INC_ICR-M,14.58
414,S19S_0063_SED_INC_ICR-M,4.69
415,S19S_0013_SED_INC_ICR-M,17.78
416,S19S_0011_SED_INC_ICR-M,13.29
417,S19S_0008_SED_INC_ICR-M,12.96
418,S19S_0009_SED_INC_ICR-M,8.79
419,S19S_0053_SED_INC_ICR-M,11.81
420,S19S_0052_SED_INC_ICR-U,10.77
421,S19S_0033_SED_INC_ICR-U,7.54
422,S19S_0019_SED_INC_ICR-U,9.8
423,S19S_0089_SED_INC_ICR-U,26.86
424,S19S_0059_SED_INC_ICR-U,13.95
425,S19S_0066_SED_INC_ICR-U,17.72
426,S19S_0008_SED_INC_ICR-U,37.33
427,S19S_0084_SED_INC_ICR-U,11.07
428,S19S_0016_SED_INC_ICR-U,12.3
429,S19S_0018_SED_INC_ICR-U,17.01
430,S19S_0039_SED_INC_ICR-U,11.02
431,S19S_0068_SED_INC_ICR-U,8.78
432,S19S_0080_SED_INC_ICR-U,16.12
433,S19S_0038_SED_INC_ICR-U,8.9
434,S19S_0086_SED_INC_ICR-U,9.54
435,S19S_0071_SED_INC_ICR-U,18.19
436,S19S_0067_SED_INC_ICR-U,22.1
437,S19S_0030_SED_INC_ICR-U,7.12
438,S19S_0012_SED_INC_ICR-U,10.86
439,S19S_0070_SED_INC_ICR-U,7.71
440,S19S_0028_SED_INC_ICR-U,56.24
441,S19S_0051_SED_INC_ICR-U,11.32
